2011,Morrison,M,39
2011,Choice,M,6
2013,Coralyne,F,5
2010,Baylen,F,8
2011,Heru,M,10
2012,Grant,M,2465
2013,Man,F,10
2011,Yaiden,M,5
2012,Treston,M,31
2010,Joshlynn,F,32
2010,Laydon,M,10
2013,Mickey,F,10
2010,Makaya,F,46
2010,Aniyla,F,41
2013,Thisbe,F,5
2011,Kymiah,F,9
2010,Hobson,M,5
2013,Hinsley,F,6
2012,Jamaire,M,5
2011,Ryken,M,45
2010,Amalya,F,18
2011,Anezka,F,5
2011,Jood,F,14
2011,Rayelle,F,8
2012,Mauriana,F,10
2010,Ripken,M,10
2013,Nikiah,F,10
2010,Jenavi,F,6
2010,Cavalli,M,10
2012,Mekiyah,F,7
2012,Jamell,M,34
2013,Jaxin,M,82
2010,Elazar,M,13
2010,Tremaine,M,178
2012,Eliz,F,6
2010,Kaelan,M,47
2013,Deserae,F,8
2011,Kellynn,F,5
2010,Stori,F,28
2012,Mallie,F,28
2010,Dynasia,F,7
2012,Zarae,F,7
2010,Maryalice,F,13
2012,Rykar,M,8
2011,Kaiulani,F,22
2010,Kashiya,F,5
2013,Herbert,M,79
2013,Yaira,F,12
2010,Yacqub,M,5
2013,Emnet,F,6
2010,Jasmen,F,8
2011,Callaway,M,20
2012,Addisin,F,7
2012,Atzel,M,15
2012,Abner,M,155
2010,Dannia,F,17
2010,Robyn,F,153
2013,Alexander,F,25
2013,Jahaziel,M,52
2013,Savanah,F,120
2012,Lillieanna,F,10
2011,Leaya,F,5
2012,Fortune,F,12
2012,Cavon,M,9
2011,Kealan,M,9
2010,Izabellah,F,25
2012,Caynen,M,6
2011,Amirrah,F,23
2010,Saed,M,6
2012,Brodrick,M,19
2011,Dominyk,M,8
2011,Aleeza,F,64
2012,Aston,M,156
2011,Obed,M,98
2013,Malayna,F,47
2010,Evans,M,37
2012,Aahaan,M,6
2010,Yarely,F,177
2010,Maryori,F,5
2012,Sullivan,F,48
2011,Keyle,F,6
2010,Zykayla,F,7
2012,Kendel,M,14
2013,Jetli,M,5
2013,Bowe,M,9
2013,Greylyn,F,7
2012,Ohm,M,9
2011,Tuana,F,6
2013,Maleea,F,6
2010,Maisen,M,17
2012,Laylah,F,455
2013,Kaslyn,F,7
2011,Indyah,F,10
2012,Ogechi,F,9
2012,Marlie,F,160
2013,Cruz,M,1243
2013,Coyle,M,5
2011,Sriansh,M,8
2011,Laylee,F,27
2013,Makai,M,342
2012,Masiya,F,8
2011,Jeydi,F,8
2010,Bridget,F,687
2011,Anayely,F,6
2011,Alexzander,M,311
2011,Jessel,F,5
2012,Akira,F,264
2012,Kaniel,M,8
2010,Tramya,F,7
2012,Aaliyana,F,11
2011,Kincade,M,6
2011,Sabriel,M,12
2013,Jesusangel,M,6
2010,Naara,F,10
2013,Kelis,F,101
2010,Adena,F,10
2012,Joelly,F,10
2012,Dequincy,M,6
2011,Dezarae,F,27
2011,Annaliz,F,6
2013,Jadrian,M,20
2013,Aashray,M,5
2012,Hanan,F,56
2010,Saloni,F,17
2012,Arizbeth,F,26
2010,Jaevon,M,26
2012,Zyair,F,8
2011,Syerra,F,9
2010,Deuce,M,7
2012,Makari,M,45
2010,Trumaine,M,10
2010,Eula,F,6
2010,Nura,F,19
2010,Kashon,M,6
2010,Jeevan,M,20
2013,Kaiyan,M,18
2012,Kemani,M,35
2013,Cana,F,15
2011,Kamya,F,200
